D,E
0.0,1.5625
1.0,1.5625
2.0,1.9375
3.0,1.9375
4.0,2.1875
5.0,2.1875
6.0,2.3125
7.0,2.3125
8.0,2.3125
9.0,2.3125
10.0,2.1875
11.0,2.1875
12.0,1.9375
13.0,1.9375
14.0,1.5625
15.0,1.5625
