D,E
0.0,0.875
1.0,0.875
2.0,1.0
3.0,1.0
4.0,1.25
5.0,1.25
6.0,1.625
7.0,1.625
8.0,1.625
9.0,1.625
10.0,1.25
11.0,1.25
12.0,1.0
13.0,1.0
14.0,0.875
15.0,0.875
