D,E
0.0,0.625
1.0,0.625
2.0,0.75
3.0,0.75
4.0,0.75
5.0,0.75
6.0,0.625
7.0,0.625
8.0,3.375
9.0,3.375
10.0,3.0
11.0,3.0
12.0,2.5
13.0,2.5
14.0,1.875
15.0,1.875
