D,E
0.0,2.15625
1.0,2.15625
2.0,2.53125
3.0,2.53125
4.0,1.78125
5.0,1.78125
6.0,1.90625
7.0,1.90625
8.0,1.15625
9.0,1.15625
10.0,1.53125
11.0,1.53125
12.0,0.78125
13.0,0.78125
14.0,0.90625
15.0,0.90625
