D,E
0.0,1.875
1.0,1.875
2.0,2.25
3.0,2.25
4.0,1.0
5.0,1.0
6.0,1.125
7.0,1.125
8.0,1.125
9.0,1.125
10.0,1.0
11.0,1.0
12.0,2.25
13.0,2.25
14.0,1.875
15.0,1.875
