N,S1,S1_bot_bot,S2,S3,S4,S5,ProposedLTB,ProposedLTT2,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan12,Yuan15,Zhao,Jajodia,Hu,Du
4,1.0625,1.0625,1.5625,1.3359375,0.7734375,1.0546875,1.5625,3.5625,1.1875,1.25,2.0,0.125,2.1875,19.375,0.4375,1.6875,0.375,1.59375,1.09375,19.015625
5,2.40625,2.40625,3.40625,2.857421875,1.826171875,2.341796875,3.40625,8.90625,2.53125,3.125,5.0,0.625,4.84375,40.6875,1.09375,3.53125,0.875,3.421875,2.421875,39.0078125
6,5.078125,5.078125,7.078125,5.86669921875,3.85107421875,4.85888671875,7.078125,19.578125,5.203125,6.8125,11.0,1.625,10.171875,83.34375,2.421875,7.203125,1.875,7.0859375,5.0859375,79.00390625
7,10.4140625,10.4140625,14.4140625,11.8709716796875,7.8631591796875,9.8670654296875,14.4140625,40.9140625,10.5390625,14.15625,23.0,3.625,20.8359375,168.671875,5.0859375,14.5390625,3.875,14.41796875,10.41796875,159.001953125
8,21.08203125,21.08203125,29.08203125,23.873016357421875,15.869110107421875,19.871063232421875,29.08203125,83.58203125,21.20703125,28.828125,47.0,7.625,42.16796875,339.3359375,10.41796875,29.20703125,7.875,29.083984375,21.083984375,319.0009765625
9,42.416015625,42.416015625,58.416015625,47.87401580810547,31.87206268310547,39.87303924560547,58.416015625,168.916015625,42.541015625,58.1640625,95.0,15.625,84.833984375,680.66796875,21.083984375,58.541015625,15.875,58.4169921875,42.4169921875,639.00048828125
10,85.0830078125,85.0830078125,117.0830078125,95.87450981140137,63.87353324890137,79.87402153015137,117.0830078125,339.5830078125,85.2080078125,116.83203125,191.0,31.625,170.1669921875,1363.333984375,42.4169921875,117.2080078125,31.875,117.08349609375,85.08349609375,1279.000244140625
