D,S1,S1_bot_bot,S2,S3,S4,S5,ProposedLTB,ProposedLTT2,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan12,Yuan15,Zhao,Jajodia,Hu,Du
12.0,45.625,45.625,139.875,139.12548828125,75.12548828125,105.50048828125,139.875,299.625,45.625,150.0419921875,151.5419921875,22.5419921875,91.2509765625,693.501953125,24.2509765625,44.125,22.7919921875,141.62548828125,45.62548828125,1108.903564453125
13.0,45.625,45.625,139.875,139.12548828125,75.12548828125,105.50048828125,139.875,299.625,45.625,150.0419921875,151.5419921875,22.5419921875,91.2509765625,693.501953125,24.2509765625,44.125,22.7919921875,141.62548828125,45.62548828125,1107.928955078125
14.0,46.111328125,46.111328125,140.361328125,139.36181640625,75.36181640625,105.48681640625,140.361328125,301.111328125,46.361328125,150.5283203125,152.0283203125,22.7783203125,92.2236328125,695.447265625,24.7236328125,44.361328125,23.0283203125,142.11181640625,46.11181640625,1108.928955078125
15.0,46.111328125,46.111328125,140.361328125,139.36181640625,75.36181640625,105.48681640625,140.361328125,301.111328125,46.361328125,150.5283203125,152.0283203125,22.7783203125,92.2236328125,695.447265625,24.7236328125,44.361328125,23.0283203125,142.11181640625,46.11181640625,1107.958251953125
16.0,46.595703125,46.595703125,140.345703125,138.59619140625,74.59619140625,104.47119140625,140.345703125,301.595703125,46.845703125,149.0126953125,152.5126953125,23.0126953125,93.1923828125,697.384765625,25.1923828125,44.595703125,23.2626953125,142.59619140625,46.59619140625,1108.958251953125
17.0,46.595703125,46.595703125,140.345703125,138.59619140625,74.59619140625,104.47119140625,140.345703125,301.595703125,46.845703125,149.0126953125,152.5126953125,23.0126953125,93.1923828125,697.384765625,25.1923828125,44.595703125,23.2626953125,142.59619140625,46.59619140625,1107.991455078125
18.0,47.078125,47.078125,140.828125,138.82861328125,74.82861328125,104.45361328125,140.828125,301.078125,47.078125,149.4951171875,152.9951171875,23.2451171875,94.1572265625,699.314453125,25.6572265625,44.828125,23.4951171875,143.07861328125,47.07861328125,1108.991455078125
19.0,47.078125,47.078125,140.828125,138.82861328125,74.82861328125,104.45361328125,140.828125,301.078125,47.078125,149.4951171875,152.9951171875,23.2451171875,94.1572265625,699.314453125,25.6572265625,44.828125,23.4951171875,143.07861328125,47.07861328125,1108.028564453125
20.0,47.55859375,47.55859375,140.80859375,139.05908203125,75.05908203125,104.43408203125,140.80859375,301.55859375,47.55859375,149.9755859375,153.4755859375,23.4755859375,95.1181640625,701.236328125,26.1181640625,45.05859375,23.7255859375,143.55908203125,47.55908203125,1109.028564453125
21.0,47.55859375,47.55859375,140.80859375,139.05908203125,75.05908203125,104.43408203125,140.80859375,301.55859375,47.55859375,149.9755859375,153.4755859375,23.4755859375,95.1181640625,701.236328125,26.1181640625,45.05859375,23.7255859375,143.55908203125,47.55908203125,1108.069580078125
22.0,48.037109375,48.037109375,141.287109375,139.28759765625,75.28759765625,104.41259765625,141.287109375,303.037109375,48.287109375,150.4541015625,153.9541015625,23.7041015625,96.0751953125,703.150390625,26.5751953125,45.287109375,23.9541015625,144.03759765625,48.03759765625,1109.069580078125
23.0,48.037109375,48.037109375,141.287109375,139.28759765625,75.28759765625,104.41259765625,141.287109375,303.037109375,48.287109375,150.4541015625,153.9541015625,23.7041015625,96.0751953125,703.150390625,26.5751953125,45.287109375,23.9541015625,144.03759765625,48.03759765625,1108.114501953125
24.0,48.513671875,48.513671875,141.263671875,139.51416015625,75.51416015625,104.38916015625,141.263671875,303.513671875,48.763671875,150.9306640625,154.4306640625,23.9306640625,97.0283203125,705.056640625,27.0283203125,45.513671875,24.1806640625,144.51416015625,48.51416015625,1109.114501953125
25.0,48.513671875,48.513671875,141.263671875,139.51416015625,75.51416015625,104.38916015625,141.263671875,303.513671875,48.763671875,150.9306640625,154.4306640625,23.9306640625,97.0283203125,705.056640625,27.0283203125,45.513671875,24.1806640625,144.51416015625,48.51416015625,1108.163330078125
26.0,48.98828125,48.98828125,141.73828125,139.73876953125,75.73876953125,104.36376953125,141.73828125,302.98828125,48.98828125,151.4052734375,154.9052734375,24.1552734375,97.9775390625,706.955078125,27.4775390625,45.73828125,24.4052734375,144.98876953125,48.98876953125,1109.163330078125
27.0,48.98828125,48.98828125,141.73828125,139.73876953125,75.73876953125,104.36376953125,141.73828125,302.98828125,48.98828125,151.4052734375,154.9052734375,24.1552734375,97.9775390625,706.955078125,27.4775390625,45.73828125,24.4052734375,144.98876953125,48.98876953125,1108.216064453125
28.0,49.4609375,49.4609375,141.7109375,139.96142578125,75.96142578125,104.33642578125,141.7109375,303.4609375,49.4609375,151.8779296875,155.3779296875,24.3779296875,98.9228515625,708.845703125,27.9228515625,45.9609375,24.6279296875,145.46142578125,49.46142578125,1109.216064453125
29.0,49.4609375,49.4609375,141.7109375,139.96142578125,75.96142578125,104.33642578125,141.7109375,303.4609375,49.4609375,151.8779296875,155.3779296875,24.3779296875,98.9228515625,708.845703125,27.9228515625,45.9609375,24.6279296875,145.46142578125,49.46142578125,1108.272705078125
30.0,49.931640625,49.931640625,142.181640625,140.18212890625,76.18212890625,104.30712890625,142.181640625,304.931640625,50.181640625,152.3486328125,155.8486328125,24.5986328125,99.8642578125,710.728515625,28.3642578125,46.181640625,24.8486328125,145.93212890625,49.93212890625,1109.272705078125
31.0,49.931640625,49.931640625,142.181640625,140.18212890625,76.18212890625,104.30712890625,142.181640625,304.931640625,50.181640625,152.3486328125,155.8486328125,24.5986328125,99.8642578125,710.728515625,28.3642578125,46.181640625,24.8486328125,145.93212890625,49.93212890625,1108.333251953125
32.0,50.400390625,50.400390625,142.150390625,138.40087890625,74.40087890625,102.27587890625,142.150390625,305.400390625,50.650390625,148.8173828125,156.3173828125,24.8173828125,100.8017578125,712.603515625,28.8017578125,46.400390625,25.0673828125,146.40087890625,50.40087890625,1109.333251953125
33.0,50.400390625,50.400390625,142.150390625,138.40087890625,74.40087890625,102.27587890625,142.150390625,305.400390625,50.650390625,148.8173828125,156.3173828125,24.8173828125,100.8017578125,712.603515625,28.8017578125,46.400390625,25.0673828125,146.40087890625,50.40087890625,1108.397705078125
34.0,50.8671875,50.8671875,142.6171875,138.61767578125,74.61767578125,102.24267578125,142.6171875,304.8671875,50.8671875,149.2841796875,156.7841796875,25.0341796875,101.7353515625,714.470703125,29.2353515625,46.6171875,25.2841796875,146.86767578125,50.86767578125,1109.397705078125
