D,S1,S1_bot_bot,S2,S3,S4,S5,ProposedLTB,ProposedLTT2,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan12,Yuan15,Zhao,Jajodia,Hu,Du
55.0,55.427734375,55.427734375,16.677734375,12.67822265625,76.67822265625,44.67822265625,16.677734375,181.927734375,55.427734375,26.3447265625,33.8447265625,27.3447265625,110.8564453125,275.712890625,33.3564453125,-8.572265625,27.3447265625,73.67822265625,55.42822265625,905.8564453125
56.0,55.873046875,55.873046875,16.623046875,12.87353515625,76.87353515625,44.87353515625,16.623046875,182.373046875,55.873046875,26.7900390625,34.2900390625,27.5400390625,111.7470703125,279.494140625,33.7470703125,-8.126953125,27.5400390625,73.62353515625,55.87353515625,907.7470703125
57.0,55.873046875,55.873046875,16.623046875,12.87353515625,76.87353515625,44.87353515625,16.623046875,182.373046875,55.873046875,26.7900390625,34.2900390625,27.5400390625,111.7470703125,279.494140625,33.7470703125,-8.126953125,27.5400390625,73.62353515625,55.87353515625,907.7470703125
58.0,56.31640625,56.31640625,17.06640625,13.06689453125,77.06689453125,45.06689453125,17.06640625,182.81640625,56.06640625,27.2333984375,34.7333984375,27.7333984375,112.6337890625,283.267578125,34.1337890625,-7.68359375,27.7333984375,73.56689453125,56.31689453125,909.6337890625
59.0,56.31640625,56.31640625,17.06640625,13.06689453125,77.06689453125,45.06689453125,17.06640625,182.81640625,56.06640625,27.2333984375,34.7333984375,27.7333984375,112.6337890625,283.267578125,34.1337890625,-7.68359375,27.7333984375,73.56689453125,56.31689453125,909.6337890625
60.0,56.7578125,56.7578125,17.0078125,13.25830078125,77.25830078125,45.25830078125,17.0078125,183.2578125,56.5078125,27.6748046875,35.1748046875,27.9248046875,113.5166015625,287.033203125,34.5166015625,-7.2421875,27.9248046875,73.50830078125,56.75830078125,911.5166015625
61.0,56.7578125,56.7578125,17.0078125,13.25830078125,77.25830078125,45.25830078125,17.0078125,183.2578125,56.5078125,27.6748046875,35.1748046875,27.9248046875,113.5166015625,287.033203125,34.5166015625,-7.2421875,27.9248046875,73.50830078125,56.75830078125,911.5166015625
62.0,57.197265625,57.197265625,17.447265625,13.44775390625,77.44775390625,45.44775390625,17.447265625,183.697265625,57.197265625,28.1142578125,35.6142578125,28.1142578125,114.3955078125,290.791015625,34.8955078125,-6.802734375,28.1142578125,73.44775390625,57.19775390625,913.3955078125
63.0,57.197265625,57.197265625,17.447265625,13.44775390625,77.44775390625,45.44775390625,17.447265625,183.697265625,57.197265625,28.1142578125,35.6142578125,28.1142578125,114.3955078125,290.791015625,34.8955078125,-6.802734375,28.1142578125,73.44775390625,57.19775390625,913.3955078125
64.0,57.634765625,57.634765625,17.384765625,9.63525390625,73.63525390625,41.63525390625,17.384765625,184.134765625,57.634765625,20.5517578125,36.0517578125,28.3017578125,115.2705078125,294.541015625,35.2705078125,-6.365234375,28.3017578125,73.38525390625,57.63525390625,915.2705078125
65.0,57.634765625,57.634765625,17.384765625,9.63525390625,73.63525390625,41.63525390625,17.384765625,184.134765625,57.634765625,20.5517578125,36.0517578125,28.3017578125,115.2705078125,294.541015625,35.2705078125,-6.365234375,28.3017578125,73.38525390625,57.63525390625,915.2705078125
66.0,58.0703125,58.0703125,17.8203125,9.82080078125,73.82080078125,41.82080078125,17.8203125,184.5703125,57.8203125,20.9873046875,36.4873046875,28.4873046875,116.1416015625,298.283203125,35.6416015625,-5.9296875,28.4873046875,73.32080078125,58.07080078125,917.1416015625
67.0,58.0703125,58.0703125,17.8203125,9.82080078125,73.82080078125,41.82080078125,17.8203125,184.5703125,57.8203125,20.9873046875,36.4873046875,28.4873046875,116.1416015625,298.283203125,35.6416015625,-5.9296875,28.4873046875,73.32080078125,58.07080078125,917.1416015625
68.0,58.50390625,58.50390625,17.75390625,10.00439453125,74.00439453125,42.00439453125,17.75390625,185.00390625,58.25390625,21.4208984375,36.9208984375,28.6708984375,117.0087890625,302.017578125,36.0087890625,-5.49609375,28.6708984375,73.25439453125,58.50439453125,919.0087890625
69.0,58.50390625,58.50390625,17.75390625,10.00439453125,74.00439453125,42.00439453125,17.75390625,185.00390625,58.25390625,21.4208984375,36.9208984375,28.6708984375,117.0087890625,302.017578125,36.0087890625,-5.49609375,28.6708984375,73.25439453125,58.50439453125,919.0087890625
70.0,58.935546875,58.935546875,18.185546875,10.18603515625,74.18603515625,42.18603515625,18.185546875,185.435546875,58.935546875,21.8525390625,37.3525390625,28.8525390625,117.8720703125,305.744140625,36.3720703125,-5.064453125,28.8525390625,73.18603515625,58.93603515625,920.8720703125
71.0,58.935546875,58.935546875,18.185546875,10.18603515625,74.18603515625,42.18603515625,18.185546875,185.435546875,58.935546875,21.8525390625,37.3525390625,28.8525390625,117.8720703125,305.744140625,36.3720703125,-5.064453125,28.8525390625,73.18603515625,58.93603515625,920.8720703125
72.0,59.365234375,59.365234375,18.115234375,10.36572265625,74.36572265625,42.36572265625,18.115234375,185.865234375,59.365234375,22.2822265625,37.7822265625,29.0322265625,118.7314453125,309.462890625,36.7314453125,-4.634765625,29.0322265625,73.11572265625,59.36572265625,922.7314453125
