D,E
0.0,0.625
1.0,0.625
2.0,0.75
3.0,0.75
4.0,1.0
5.0,1.0
6.0,1.375
7.0,1.375
8.0,1.375
9.0,1.375
10.0,1.0
11.0,1.0
12.0,0.75
13.0,0.75
14.0,0.625
15.0,0.625
