D,E
0.0,13.3125
1.0,13.3125
2.0,15.0625
3.0,15.0625
4.0,16.5625
5.0,16.5625
6.0,17.8125
7.0,17.8125
8.0,18.8125
9.0,18.8125
10.0,19.5625
11.0,19.5625
12.0,20.0625
13.0,20.0625
14.0,20.3125
15.0,20.3125
