D,E
0.0,0.375
1.0,0.375
2.0,0.53125
3.0,0.53125
4.0,0.28125
5.0,0.28125
6.0,0.15625
7.0,0.15625
8.0,0.15625
9.0,0.15625
10.0,0.28125
11.0,0.28125
12.0,0.53125
13.0,0.53125
14.0,0.375
15.0,0.375
